Ensembl_ID,protein_name,gene_name
ENSP00000170168,RNA exonuclease 1 homolog (EC 3.1.-.-) (Elongin-A-binding protein 1) (EloA-BP1) (Transcription elongation factor B polypeptide 3-binding protein 1),REXO1 ELOABP1 KIAA1138 TCEB3BP1
ENSP00000170447,E3 ubiquitin-protein ligase makorin-2 (EC 2.3.2.27) (RING finger protein 62) (RING-type E3 ubiquitin transferase makorin-2),MKRN2 RNF62 HSPC070
ENSP00000170564,G patch domain-containing protein 1 (Evolutionarily conserved G-patch domain-containing protein),GPATCH1 ECGP GPATC1
ENSP00000171111,Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19),KEAP1 INRF2 KIAA0132 KLHL19
ENSP00000171757,Putative P2Y purinoceptor 10 (P2Y10) (P2Y-like receptor),P2RY10
ENSP00000171887,Tensin-1 (EC 3.1.3.-),TNS1 TNS
ENSP00000172229,Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271),NGFR TNFRSF16
ENSP00000173229,Netrin-1 (Epididymis tissue protein Li 131P),NTN1 NTN1L
ENSP00000173527,Isochorismatase domain-containing protein 1,ISOC1 CGI-111
ENSP00000173898,Trophinin (MAGE-D3 antigen),TRO KIAA1114 MAGED3
ENSP00000174618,Max-binding protein MNT (Class D basic helix-loop-helix protein 3) (bHLHd3) (Myc antagonist MNT) (Protein ROX),MNT BHLHD3 ROX
ENSP00000175091,Lysosomal-associated transmembrane protein 4A (Golgi 4-transmembrane-spanning transporter MTP),LAPTM4A KIAA0108 LAPTM4 MBNT MTRP UNQ1846/PRO3574
ENSP00000175238,Disintegrin and metalloproteinase domain-containing protein 7 (ADAM 7) (Sperm maturation-related glycoprotein GP-83),ADAM7 GP83
ENSP00000175506,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase),ASNS TS11
ENSP00000175756,Tyrosine-protein phosphatase non-receptor type 18 (EC 3.1.3.48) (Brain-derived phosphatase),PTPN18 BDP1
ENSP00000176183,D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor),DRD4
ENSP00000176195,Secretin,SCT
ENSP00000176763,Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase),STK10 LOK
ENSP00000177694,T-box transcription factor TBX21 (T-box protein 21) (T-cell-specific T-box transcription factor T-bet) (Transcription factor TBLYM),TBX21 TBET TBLYM
ENSP00000178638,Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3),CA12
ENSP00000178640,Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5),MAP2K5 MEK5 MKK5 PRKMK5
ENSP00000179259,"Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)",TIGAR C12orf5
ENSP00000180166,Fibroblast growth factor 20 (FGF-20),FGF20
ENSP00000180173,"Myotubularin-related protein 7 (Inositol 1,3-bisphosphate phosphatase) (EC 3.1.3.-) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",MTMR7
ENSP00000181383,Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI),CPB2
ENSP00000181796,Protein FAM107B,FAM107B C10orf45
ENSP00000181839,Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller),CDK13 CDC2L CDC2L5 CHED KIAA1791
ENSP00000182290,Tetraspanin-32 (Tspan-32) (Protein Phemx),TSPAN32 PHEMX TSSC6
ENSP00000182527,Translocating chain-associated membrane protein 2,TRAM2 KIAA0057
ENSP00000183605,Claudin-18,CLDN18 UNQ778/PRO1572
ENSP00000184183,Ropporin-1A (Cancer/testis antigen 91) (CT91) (Rhophilin-associated protein 1A),ROPN1 ROPN1A
ENSP00000184266,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 (Complex I-B15) (CI-B15) (NADH-ubiquinone oxidoreductase B15 subunit),NDUFB4
ENSP00000184956,HEAT repeat-containing protein 6 (Amplified in breast cancer protein 1),HEATR6 ABC1
ENSP00000185150,Endoplasmic reticulum lectin 1 (ER lectin) (Erlectin) (XTP3-transactivated gene B protein),ERLEC1 C2orf30 XTP3TPB UNQ1878/PRO4321
ENSP00000185206,Chloride intracellular channel protein 5,CLIC5
ENSP00000186436,Transmembrane protein 131 (Protein RW1),TMEM131 KIAA0257 RW1
ENSP00000187762,Trimeric intracellular cation channel type A (TRIC-A) (TRICA) (Transmembrane protein 38A),TMEM38A
ENSP00000188312,Actin-related protein 6 (hArp6) (hARPX),ACTR6 CDA12
ENSP00000188790,"Prolyl endopeptidase FAP (EC 3.4.21.26) (170 kDa melanoma membrane-bound gelatinase) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]",FAP
ENSP00000190165,Doublesex- and mab-3-related transcription factor 3,DMRT3 DMRTA3
ENSP00000192314,"Galactose-3-O-sulfotransferase 2 (Gal3ST-2) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 2) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 2) (Glycoprotein beta-Gal 3'-sulfotransferase 2)",GAL3ST2 GP3ST
ENSP00000192788,Bridge-like lipid transfer protein family member 3A (ICBP90-binding protein 1) (UHRF1-binding protein 1) (Ubiquitin-like containing PHD and RING finger domains 1-binding protein 1),BLTP3A C6orf107 UHRF1BP1
ENSP00000193322,Osteopetrosis-associated transmembrane protein 1 (Chloride channel 7 beta subunit),OSTM1 GL HSPC019 UNQ6098/PRO21201
ENSP00000193391,Interphotoreceptor matrix proteoglycan 2 (Interphotoreceptor matrix proteoglycan of 200 kDa) (IPM 200) (Sialoprotein associated with cones and rods proteoglycan) (Spacrcan),IMPG2 IPM200
ENSP00000194130,Solute carrier family 13 member 1 (Renal sodium/sulfate cotransporter) (Na(+)/sulfate cotransporter) (hNaSi-1),SLC13A1 NAS1 NASI1
ENSP00000194152,Protocadherin beta-4 (PCDH-beta-4),PCDHB4
ENSP00000194214,Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Placental protein 25) (PP25),HSPB11 C1orf41 IFT25 HSPC034
ENSP00000194530,STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein) (CALS-21) (ILP-interacting protein) (Pseudokinase ALS2CR2),STRADB ALS2CR2 ILPIP PRO1038
ENSP00000196061,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",PLOD1 LLH PLOD
ENSP00000196371,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (SCOT) (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s) (Succinyl-CoA:3-oxoacid CoA transferase)",OXCT1 OXCT SCOT
ENSP00000196489,Zinc finger protein 416,ZNF416
ENSP00000197268,Protein FAM234B,FAM234B KIAA1467
ENSP00000198536,Paired immunoglobulin-like type 2 receptor alpha (Cell surface receptor FDF03) (Inhibitory receptor PILR-alpha),PILRA
ENSP00000198767,RNA polymerase I-specific transcription initiation factor RRN3 (Transcription initiation factor IA) (TIF-IA),RRN3 TIFIA
ENSP00000198801,2-acylglycerol O-acyltransferase 2 (EC 2.3.1.22) (Acyl-CoA:monoacylglycerol acyltransferase 2) (MGAT2) (hMGAT2) (Diacylglycerol O-acyltransferase candidate 5) (hDC5) (Diacylglycerol acyltransferase 2-like protein 5) (Monoacylglycerol O-acyltransferase 2),MOGAT2 DC5 DGAT2L5
ENSP00000199280,Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct),AQP2
ENSP00000199320,"Probable dimethyladenosine transferase (EC 2.1.1.183) (DIM1 dimethyladenosine transferase 1 homolog) (DIM1 dimethyladenosine transferase 1-like) (Probable 18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase) (Probable 18S rRNA dimethylase) (Probable S-adenosylmethionine-6-N',N'-adenosyl(rRNA) dimethyltransferase)",DIMT1 DIMT1L HUSSY-05
ENSP00000199389,Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (hHRI) (Hemin-sensitive initiation factor 2-alpha kinase),EIF2AK1 HRI KIAA1369 PRO1362
ENSP00000199447,Thioredoxin domain-containing protein 3 (NM23-H8) (NME/NM23 family member 8) (Spermatid-specific thioredoxin-2) (Sptrx-2),NME8 SPTRX2 TXNDC3
ENSP00000199706,"39S ribosomal protein L28, mitochondrial (L28mt) (MRP-L28) (Melanoma antigen p15) (Melanoma-associated antigen recognized by T-lymphocytes) (Mitochondrial large ribosomal subunit protein bL28m)",MRPL28 MAAT1
ENSP00000199708,Hemoglobin subunit theta-1 (Hemoglobin theta-1 chain) (Theta-1-globin),HBQ1
ENSP00000199764,Carcinoembryonic antigen-related cell adhesion molecule 6 (Non-specific crossreacting antigen) (Normal cross-reacting antigen) (CD antigen CD66c),CEACAM6 NCA
ENSP00000199814,Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16),RBM22 ZC3H16 199G4
ENSP00000199936,17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD 2) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Estradiol 17-beta-dehydrogenase 2) (EC 1.1.1.62) (Microsomal 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239),HSD17B2 EDH17B2 SDR9C2
ENSP00000200135,Centromere/kinetochore protein zw10 homolog,ZW10
ENSP00000200181,Integrin beta-4 (GP150) (CD antigen CD104),ITGB4
ENSP00000200453,Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog),PPP1R15A GADD34
ENSP00000200457,Thyroid receptor-interacting protein 6 (TR-interacting protein 6) (TRIP-6) (Opa-interacting protein 1) (OIP-1) (Zyxin-related protein 1) (ZRP-1),TRIP6 OIP1
ENSP00000200557,"Disintegrin and metalloproteinase domain-containing protein 11 (ADAM 11) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein) (MDC)",ADAM11 MDC
ENSP00000200652,Solute carrier family 22 member 4 (Ergothioneine transporter) (ET transporter) (Organic cation/carnitine transporter 1),SLC22A4 ETT OCTN1 UT2H
ENSP00000200676,Cholesteryl ester transfer protein (Lipid transfer protein I),CETP
ENSP00000200691,Metallothionein-3 (MT-3) (GIFB) (GIF) (Growth inhibitory factor) (Metallothionein-III) (MT-III),MT3
ENSP00000201031,Transcription factor AP-2 gamma (AP2-gamma) (Activating enhancer-binding protein 2 gamma) (Transcription factor ERF-1),TFAP2C
ENSP00000201586,Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1),SULT2B1 HSST2
ENSP00000201647,Epidermal growth factor receptor kinase substrate 8-like protein 1 (EPS8-like protein 1) (Epidermal growth factor receptor pathway substrate 8-related protein 1) (EPS8-related protein 1),EPS8L1 DRC3 EPS8R1 PP10566
ENSP00000201979,GTP-binding protein REM 1 (GTPase-regulating endothelial cell sprouting) (Rad and Gem-like GTP-binding protein 1),REM1 GES REM
ENSP00000202017,p53 and DNA damage-regulated protein 1,PDRG1 C20orf126 PDRG
ENSP00000202556,Apoptosis-stimulating of p53 protein 1 (Protein phosphatase 1 regulatory subunit 13B),PPP1R13B ASPP1 KIAA0771
ENSP00000202625,Protein-glutamine gamma-glutamyltransferase 6 (EC 2.3.2.13) (Transglutaminase Y) (TGY) (TGase Y) (Transglutaminase-3-like) (TGase-3-like) (Transglutaminase-6) (TG6) (TGase-6),TGM6 TGM3L
ENSP00000202677,Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (p220),RALGAPA2 C20orf74 KIAA1272
ENSP00000202816,ESF1 homolog (ABT1-associated protein),ESF1 ABTAP C20orf6 HDCMC28P
ENSP00000202967,"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial (EC 2.3.1.-) (NAD-dependent ADP-ribosyltransferase sirtuin-4) (EC 2.4.2.-) (NAD-dependent protein biotinylase sirtuin-4) (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-4) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 4) (SIR2-like protein 4)",SIRT4 SIR2L4
ENSP00000203001,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (mRNA methyladenosine-N(1)-methyltransferase non-catalytic subunit TRM6) (tRNA(m1A58)-methyltransferase subunit TRM6) (tRNA(m1A58)MTase subunit TRM6),TRMT6 KIAA1153 TRM6 CGI-09
ENSP00000203407,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",UQCRC1
ENSP00000203556,GEM-interacting protein (GMIP),GMIP
ENSP00000203629,Lymphocyte activation gene 3 protein (LAG-3) (CD antigen CD223) [Cleaved into: Secreted lymphocyte activation gene 3 protein (sLAG-3)],LAG3 FDC
ENSP00000203630,Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2),MLF2
ENSP00000203664,Ubiquitin thioesterase OTUB2 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB2) (OTU domain-containing ubiquitin aldehyde-binding protein 2) (Otubain-2) (Ubiquitin-specific-processing protease OTUB2),OTUB2 C14orf137 OTB2 OTU2
ENSP00000204517,Transcription factor AP-4 (Activating enhancer-binding protein 4) (Class C basic helix-loop-helix protein 41) (bHLHc41),TFAP4 BHLHC41
ENSP00000204549,Programmed cell death protein 7 (ES18) (hES18),PDCD7
ENSP00000204566,Maspardin (Acid cluster protein 33) (Spastic paraplegia 21 autosomal recessive Mast syndrome protein) (Spastic paraplegia 21 protein),SPG21 ACP33 BM-019 GL010
ENSP00000204604,Chordin,CHRD UNQ217/PRO243
ENSP00000204615,Thrombopoietin (C-mpl ligand) (ML) (Megakaryocyte colony-stimulating factor) (Megakaryocyte growth and development factor) (MGDF) (Myeloproliferative leukemia virus oncogene ligand),THPO MGDF
ENSP00000204679,N-acetylglucosamine-1-phosphotransferase subunit gamma (GlcNAc-1-phosphotransferase subunit gamma) (UDP-N-acetylglucosamine-1-phosphotransferase subunit gamma),GNPTG C16orf27 GNPTAG CAB56184 LP2537
ENSP00000204726,Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa) (GCP170) (Golgin-160),GOLGA3
ENSP00000204961,Ephrin-B1 (EFL-3) (ELK ligand) (ELK-L) (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) [Cleaved into: Ephrin-B1 C-terminal fragment (Ephrin-B1 CTF); Ephrin-B1 intracellular domain (Ephrin-B1 ICD)],EFNB1 EFL3 EPLG2 LERK2
ENSP00000205061,Golgi apparatus protein 1 (CFR-1) (Cysteine-rich fibroblast growth factor receptor) (E-selectin ligand 1) (ESL-1) (Golgi sialoglycoprotein MG-160),GLG1 CFR1 ESL1 MG160
ENSP00000205143,Delta-like protein 3 (Drosophila Delta homolog 3) (Delta3),DLL3
ENSP00000205194,Probable N-acetyltransferase 14 (EC 2.3.1.-) (K562 cell-derived leucine-zipper-like protein 1),NAT14 KLP1
ENSP00000205214,Beta-alanine-activating enzyme (EC 6.2.1.-) (Acyl-CoA synthetase family member 4) (Protein NRPS998),AASDH ACSF4 U26 HSPC318
ENSP00000205402,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)",DLD GCSL LAD PHE3
ENSP00000205557,ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E) (Multidrug resistance-associated protein 6),ABCC6 ARA MRP6
ENSP00000205636,CKLF-like MARVEL transmembrane domain-containing protein 6 (Chemokine-like factor superfamily member 6),CMTM6 CKLFSF6
ENSP00000205890,Unconventional myosin-XV (Unconventional myosin-15),MYO15A MYO15
ENSP00000205948,Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI),APOH B2G1
ENSP00000206020,Sperm-associated antigen 7,SPAG7
ENSP00000206423,Coiled-coil domain-containing protein 80 (Down-regulated by oncogenes protein 1) (Up-regulated in BRS-3 deficient mouse homolog),CCDC80 DRO1 URB HBE245
ENSP00000206474,HAUS augmin-like complex subunit 4,HAUS4 C14orf94
ENSP00000206513,CCAAT/enhancer-binding protein epsilon (C/EBP epsilon),CEBPE
ENSP00000206542,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (O-sialoglycoprotein endopeptidase) (hOSGEP) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein OSGEP) (tRNA threonylcarbamoyladenosine biosynthesis protein OSGEP),OSGEP GCPL1
ENSP00000206595,G2/M phase-specific E3 ubiquitin-protein ligase (EC 2.3.2.26) (G2/M phase-specific HECT-type E3 ubiquitin transferase),G2E3 KIAA1333
ENSP00000206765,Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1),TGM1 KTG
ENSP00000207157,T-box transcription factor TBX15 (T-box protein 15) (T-box transcription factor TBX14) (T-box protein 14),TBX15 TBX14
ENSP00000207457,Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1),TEKT2
ENSP00000207549,Protein unc-13 homolog D (Munc13-4),UNC13D
ENSP00000207870,Xylulose kinase (Xylulokinase) (EC 2.7.1.17),XYLB
ENSP00000209540,Olfactory receptor 1I1 (Olfactory receptor 19-20) (OR19-20),OR1I1
ENSP00000209668,Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha),ADH1A ADH1
ENSP00000209718,"Keratin, type I cytoskeletal 23 (Cytokeratin-23) (CK-23) (Keratin-23) (K23)",KRT23
ENSP00000209728,Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein) (HsCdc18) (p62(cdc6)) (HsCDC6),CDC6 CDC18L
ENSP00000209873,Aladin (Adracalin),AAAS ADRACALA GL003
ENSP00000209875,Chromobox protein homolog 5 (Antigen p25) (Heterochromatin protein 1 homolog alpha) (HP1 alpha),CBX5 HP1A
ENSP00000209884,Kelch-like protein 20 (Kelch-like ECT2-interacting protein) (Kelch-like protein X),KLHL20 KLEIP KLHLX
ENSP00000209929,Flavin-containing monooxygenase 2 (EC 1.14.13.-) (Dimethylaniline oxidase 2) (FMO 1B1) (Pulmonary flavin-containing monooxygenase 2) (FMO 2),FMO2
ENSP00000210060,Deoxyhypusine synthase (DHS) (EC 2.5.1.46),DHPS DS
ENSP00000210187,Ras-related protein Rab-26,RAB26
ENSP00000210313,26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B),PSMD5 KIAA0072
ENSP00000210444,Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase) (N-acetylneuraminic acid synthase),NANS SAS
ENSP00000210633,Semaphorin-4G,SEMA4G KIAA1619
ENSP00000211076,Tryptase delta (EC 3.4.21.59) (Delta-tryptase) (HmMCP-3-like tryptase III) (Mast cell mMCP-7-like) (Tryptase-3),TPSD1
ENSP00000211122,Glutathione S-transferase A3 (EC 2.5.1.18) (GST class-alpha member 3) (Glutathione S-transferase A3-3),GSTA3
ENSP00000211287,Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4),MAPK13 PRKM13 SAPK4
ENSP00000211314,Transmembrane protein 14A,TMEM14A C6orf73 PTD011
ENSP00000211413,Proline-rich transmembrane protein 1 (Dispanin subfamily D member 1) (DSPD1) (Synapse differentiation-induced protein 4) (SynDIG4),PRRT1 C6orf31 NG5
ENSP00000211936,Zinc finger protein 184,ZNF184
ENSP00000211998,Vinculin (Metavinculin) (MV),VCL
ENSP00000212015,NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)],SIRT1 SIR2L1
ENSP00000212355,Transforming growth factor beta receptor type 3 (TGF-beta receptor type 3) (TGFR-3) (Betaglycan) (Transforming growth factor beta receptor III) (TGF-beta receptor type III),TGFBR3
ENSP00000214869,Transmembrane emp24 domain-containing protein 1 (Interleukin-1 receptor-like 1 ligand) (Putative T1/ST2 receptor-binding protein) (p24 family protein gamma-1) (Tp24) (p24gamma1),TMED1 IL1RL1L IL1RL1LG
ENSP00000215057,Myeloid zinc finger 1 (MZF-1) (Zinc finger and SCAN domain-containing protein 6) (Zinc finger protein 42),MZF1 MZF ZNF42 ZSCAN6
ENSP00000215061,Occludin/ELL domain-containing protein 1,OCEL1
ENSP00000215071,26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31),PSMD8
ENSP00000215095,Syntaxin-1B (Syntaxin-1B1) (Syntaxin-1B2),STX1B STX1B1 STX1B2
ENSP00000215368,Ephrin-A2 (EPH-related receptor tyrosine kinase ligand 6) (LERK-6) (HEK7 ligand) (HEK7-L),EFNA2 EPLG6 LERK6
